t,x,y,vx,vy,v,ax,ay,a,θ,ω,α,L,K,
1.502,-0.908,0.179,-1.936,-9.745E-2,1.938,-0.802,3.821,3.904,168.8,29.55,-352.8,1.863,1.879
1.535,-0.972,0.178,-1.964,6.605E-3,1.964,-0.292,2.852,2.867,169.6,20.34,-243.6,1.928,1.929
1.568,-1.039,0.180,-1.963,8.602E-2,1.965,1.504,3.800,4.086,170.2,13.81,-259.8,1.994,1.930
1.602,-1.103,0.184,-1.866,0.251,1.883,2.775,4.938,5.664,170.5,3.428,-286.8,2.059,1.772
1.635,-1.163,0.197,-1.763,0.434,1.815,1.772,1.063,2.066,170.4,-6.385,-70.55,2.120,1.648
1.668,-1.221,0.213,-1.749,0.345,1.783,2.606,2.764,3.799,170.1,-2.152,-121.5,2.181,1.589
1.702,-1.280,0.220,-1.617,0.519,1.698,3.963,3.384,5.211,170.3,-9.900,-151.6,2.240,1.442
1.735,-1.329,0.248,-1.445,0.706,1.608,5.004,2.350,5.529,169.4,-18.45,-113.1,2.296,1.293
1.768,-1.376,0.267,-1.311,0.586,1.436,3.584,-1.565,3.911,169.0,-13.33,70.11,2.347,1.032
1.802,-1.416,0.287,-1.182,0.625,1.337,4.479,3.532E-2,4.479,168.6,-14.97,-12.80,2.392,0.894
1.835,-1.455,0.308,-1.039,0.597,1.198,5.750,-2.081,6.115,168.0,-14.29,51.74,2.437,0.718
1.869,-1.486,0.327,-0.786,0.481,0.921,5.513,-1.968,5.854,167.6,-11.40,44.06,2.472,0.424
1.902,-1.508,0.340,-0.651,0.447,0.790,4.378,-1.846,4.752,167.3,-10.82,41.16,2.498,0.312
1.935,-1.529,0.357,-0.528,0.392,0.658,4.570,-2.996,5.465,166.9,-9.598,74.67,2.525,0.216
1.969,-1.543,0.367,-0.325,0.226,0.395,-44.74,43.72,62.55,166.6,-5.246,-981.6,2.542,7.815E-2
2.002,-1.551,0.372,-3.098,2.908,4.249,,,,166.5,-65.96,,2.551,9.028
2.035,-1.750,0.561,,,,,,,162.2,,,2.826,
